Title,Date,data_file,Download Link
Format for Annual Progress Report,19 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210719064007-Tx07v-Annual_Report_Format.doc,http://dos.gov.np/download/download/format-for-annual-progress-report/news
Regarding Performance Evaluation Form,19 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210719070722-en5gi-20780401_RegardingKaSamu.pdf,http://dos.gov.np/download/download/regarding-performance-evaluation-form/news
Notice Regarding Submission of Sampati Bibaran,18 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210718115700-9cPjB-Sampati_Bibaran_Notice.pdf,http://dos.gov.np/download/download/notice-regarding-submission-of-sampati-bibaran/news
Regarding incorporation of suggestions and feedbacks,14 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210714044929-zE8J8-सुझाव-कार्यान्वयन-सम्बन्धमा-(2).pdf,http://dos.gov.np/download/download/regarding-incorporation-of-suggestions-and-feedbacks/news
About Progress Report of Fiscal Year 2077/78,14 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210714014311-4EfD2-notice_annual_report.pdf,http://dos.gov.np/download/download/about-progress-report-of-fiscal-year-207778/news
Regarding complaint foreclosure,14 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210714012647-FPjJO-उजुरी_फर्छ्यौट_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-complaint-foreclosure-2/news
Regarding Program Amendment,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709110215-I302k-Account_-_Copy.pdf,http://dos.gov.np/download/download/regarding-program-amendment/news
Regarding Google Plus code,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709110107-ss7iI-Regarding_Google_Plus_code.pdf,http://dos.gov.np/download/download/regarding-google-plus-code/news
Regarding the decisions of the secretary meeting,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709110000-DJJxC-Regarding_the_decisions_of_the_secretary_meeting.pdf,http://dos.gov.np/download/download/regarding-the-decisions-of-the-secretary-meeting/news
Regarding Service Delivery,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105636-g0uh3-Regarding_Service_Delivery.pdf,http://dos.gov.np/download/download/regarding-service-delivery/news
RegardingToll Free Number,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105249-JlRVh-tol_free_no2.pdf,http://dos.gov.np/download/download/regardingtoll-free-number/news
Regarding support for lidar survey,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105140-fenUc-Lidar.pdf,http://dos.gov.np/download/download/regarding-support-for-lidar-survey-2/news
"Tender Result(Supply and delivery of computer and accessories, power backup and stationery)",09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105052-nJQWw-result2.pdf,http://dos.gov.np/download/download/tender-resultsupply-and-delivery-of-computer-and-accessories-power-backup-and-stationery/news
Bid invitation notice for sale of used goods at auction,04 Jun 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709104240-dARLQ-Lilami_Suchana.pdf,http://dos.gov.np/download/download/regarding-support-for-lidar-survey/news
