Title,Date,data_file,Download Link
Regarding Nominations,06 Sep 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220906102503-TqPMa-मनोननयन_compressed.pdf,http://dos.gov.np/download/download/regarding-nomination/news
Regarding Participation,29 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220829070535-K3w15-20790510_सर्भेदिवस_कविता.pdf,http://dos.gov.np/download/download/regarding-participation/news
Regarding Performance Evaluation,23 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220823064831-y8oIw-कार्य-सम्पादन-मूल्याङ्कन-सम्बन्धमा.pdf,http://dos.gov.np/download/download/-2/news
Press Note Regarding Land Use Zoning,22 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220822120722-4UPU6-प्रेसनोट.pdf,http://dos.gov.np/download/download/press-note-regarding-land-use-zoning/news
Regarding In-service Training (Officer Level),07 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220807054630-6t0hu-अधिकृत-स्तरको-सेवाकालिन-तालीम-सम्बन्धमा.pdf,http://dos.gov.np/download/download/a-l-l-b-3/news
Regarding In-service Training for  Non-gazetted class II employees,07 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220807054548-Ha4eC-राजपत्र-अनंकित-द्वितीय-श्रेणीको-सेवाकालिन-तालीम-सम्बन्धमा.pdf,http://dos.gov.np/download/download/a-l-l-b-2/news
राजपत्र अनंकित प्रथम श्रेणीको सेवाकालिन तालीम सम्बन्धमा,07 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220807054529-PUqsR-राजपत्र-अनंकित-प्रथम-श्रेणीको-सेवाकालिन-तालीम-सम्बन्धमा.pdf,http://dos.gov.np/download/download/a-l-l-b/news
"निजामती सेवा दिवस, २०७९ मनाउने सम्बन्धमा",07 Aug 2022,"http://dos.gov.np/uploads/branch_1/notices/notices-20220807053519-i0fdA-निजामति-सेवा-दिवस,-२०७९-मनाउने-सम्बन्धमा_compressed.pdf",http://dos.gov.np/download/download//news
"डिजिटल प्रणालीद्वारा जग्गाको नापनक्सा तथा सेवा प्रवाह निर्देशिका, २०७८",03 Aug 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220803073359-1fqJb-डिजिटल-प्रणालीद्वारा-जग्गाको-नापनक्सा-तथा-सेवा-प्रवाह-निर्देशिका.pdf,http://dos.gov.np/download/download/l-l/news
Proactive Disclosure(From 2078 Chaitra 1 to 2079 Asar),31 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220731075322-4e7Zk-सूचनाको-हक-compressed.pdf,http://dos.gov.np/download/download/proactive-disclosurefrom-2078-chaitra-1-to-2079-asar/news
Regarding coopeartion and coordination[2022-07-27],27 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220727063013-SUmP8-20790411_All_आवश्यक_सहयोग_तथा_समन्वय_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-coopeartion-and-coordination2022-07-27/news
Regarding Implementation of Decision [2022-07-22],24 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220724110936-q9pRW-_20790408_निर्णय_कार्यान्वयन_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision-2022-07-22/news
Regrading Recruitment[2022-07-21],21 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220721105951-HlpiS-_20790405_पदपूर्ति_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regrading-recruitment2022-07-21/news
Regarding Submission of Financial Report 2078/79,21 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220721102744-fvG4t-_20790405_आर्थिक_विवरण_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-submission-of-financial-report-207879/news
Regarding Submission of Property Details for FY 2078/79[2022-07-15],21 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220721060025-Eyi7D-_20790401_Sampati_Bibaran_Sambandhama.pdf,http://dos.gov.np/download/download/regarding-submission-of-property-details-for-fy-2078792022-07-15/news
Regarding Performance Evaluation Sheet,21 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220721055225-odZF2-_20790401_कासमु_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-performance-evaluation-sheet/news
Regading Nomination for Scholarship,13 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220713073849-0rvi8-_20790327_Nomination_compress.pdf,http://dos.gov.np/download/download/regading-nomination-for-scholarship/news
Regarding Nomination for Scholarship,13 Jul 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220713072604-7Xews-_20790323_Nomination_compressedFile.pdf,http://dos.gov.np/download/download/regarding-nomination-for-scholarship/news
Regardina Nomination for Training,29 Jun 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220629070131-y3r6A-_20790314_training_compressed.pdf,http://dos.gov.np/download/download/regardina-nomination-for-training/news
Regarding Seminar (Far-western Province),22 Jun 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220622063647-0HF7K-गोष्ठी.pdf,http://dos.gov.np/download/download/regarding-seminar-far-western-province/news
