शीर्षक,डाउनलोड
मालपोत कार्यालयका लागि आधिकारिक इमेल हेर्नका लागि मार्गदर्शन,https://www.dolma.gov.np/uploads/document/m_118_256295_1499930263.pdf
मालपोत कार्यालयका लागि आधिकारिक इमेल हेर्नका लागि मार्गदर्शन,https://www.dolma.gov.np/uploads/document/m_118_375824_1499930348.pdf
मालपोत कार्यालयमा सेवा लिदा पेश गनुपर्ने प्रमाण बारे संक्षिप्त जानकारी,https://www.dolma.gov.np/uploads/document/m_118_924814_1499930383.pdf
रजिष्टेशन दस्तुरको रकम वाँडफाँड गर्ने तरिका,https://www.dolma.gov.np/uploads/document/m_118_352886_1499930502.pdf
कार्यसम्पादन सूचक अनुरुपका कार्य सम्पादन गरी प्रगति पठाउनेवारे ।,https://www.dolma.gov.np/uploads/document/m_118_457056_1499930454.pdf
चेक लिष्ट प्रयोगमा ल्याउने वारे ।,https://www.dolma.gov.np/uploads/document/m_118_425363_1499930537.pdf
आ.व.२०७०-७१ को रजिष्टेशन दस्तूरको असूली लक्ष्य,https://www.dolma.gov.np/uploads/document/m_118_295207_1499930574.pdf
प्रगति पठाउने ढाँचा,https://www.dolma.gov.np/uploads/document/m_118_997676_1499930645.pdf
भवन डिजाइन,https://www.dolma.gov.np/uploads/document/m_118_391344_1499930684.zip
भवन डिजाइन,https://www.dolma.gov.np/uploads/document/m_118_737145_1499931052.7z
"राजश्व दर रेट, २०७०।७१",https://www.dolma.gov.np/uploads/document/m_118_548988_1499931093.pdf
"आर्थिक अध्यादेश, २०७०",https://www.dolma.gov.np/uploads/document/m_118_79404_1499931138.pdf
"भू उपयोग नीति, २०६९",https://www.dolma.gov.np/uploads/document/m_118_574979_1499931215.pdf
"आर्थिक विधेयक, २०६८",
